01.txt:196:talk "俺","「……」"
03.txt:722:talk "俺","「お前も、似合ってるぞ」"
03.txt:725:talk "ミオ","「えへへ....」"
03.txt:726:talk "ミオ","「そう言って、ミオは素直にはにんだ。」"
03.txt:729:talk "ミオ","「行こっかっ」"
03.txt:730:talk "ミオ","「さっきの言葉で気分が上がったのかわからないが、少し嬉し目だ。」"
03.txt:733:talk "俺","「だんだん扱い方がわかってきたかもしれんな。これ。」"
03.txt:739:talk "ミオ","「駅、戻ろっ。旅の続きだっ！」"
03.txt:740:talk "ミオ","「まるで冒険漫画のような台詞をつぶやき、外へと駆け出す。」"
03.txt:741:talk "俺","「俺は小さくため息をつきつつも、彼女のその馬鹿げた芝居に乗っかってやることにした。」"
03.txt:744:talk "俺","「お～っ！！」"
03.txt:745:talk "俺","「拳を掲げ、目一杯、元気に声を上げる。」"
03.txt:748:talk "俺","「追い風が俺らを押し、こころなしか、風も俺らの旅を応援している気がした。」"
03.txt:785:talk "俺","「なあミオ」"
03.txt:788:talk "ミオ","「どしたっ」"
03.txt:791:talk "俺","「弁当、何食いたいんだ」"
03.txt:794:talk "ミオ","「.....う～ん、正直なんでもいいっ！」"
03.txt:797:talk "俺","「そうか。また俺のチョイスで」"
03.txt:800:talk "俺","「てかお前、毎回俺が選んでいいのか？」"
03.txt:803:talk "俺","「お前だって好きなもんはあるだろうに。」"
03.txt:806:talk "ミオ","「私はメロンパンだけ好きだから、それ以外はどうでもいいのっ」"
03.txt:809:talk "俺","「メロンパンばっか食ってるとぶくぶく太っちまうぞ」"
03.txt:812:talk "ミオ","「君ってさ、デリカシーどこに置いてきたの？」"
03.txt:813:talk "ミオ","「ミオはむすっと頬を膨らませ、こちらを睨む。」"
03.txt:816:talk "俺","「そっか。女の子には体重とかの話アカンのか。」"
03.txt:817:talk "俺","「後で何か甘いもんあげないとこれはずっと怒ったままだな...」"
03.txt:820:talk "ミオ","「君がそんなにデリカシーないんなら、私もデリカシーなくいろいろしちゃいますからねっ」"
03.txt:823:talk "ミオ","「ミオは駅弁屋に向かい、ありったけの食いたいもんを注文してる。」"
03.txt:826:talk "俺","「俺は急いで離れた背中を追いかけ、どんどんとレジに表示されてる金額が増えるのを眺めていた。」"
03.txt:827:talk "俺","「どうせ財布は痛まないんだ、たまには食いたいもんをこういう感じでも食えるとこっちも嬉しい。」"
03.txt:828:talk "俺","「ミオが頼んだもんを目で追っていくと、弁当にしてはなかなか強気な価格設定なものもあった。」"
03.txt:829:talk "俺","「分厚い肉の弁当だったり、カツサンド、極めつけには箱に入ってるプリン。」"
03.txt:830:talk "俺","「ミオ...そんなに食べられるのか？」"
03.txt:831:talk "俺","「まあどうせ泣きついてくるだろ。」"
03.txt:838:talk "俺","「じゃあ俺も一番高い幕の内弁当とペットボトルのお茶お願いします」"
03.txt:860:talk "ミオ","「ミオはやってやったぜって顔で、こっちを見ている。」"
03.txt:861:talk "ミオ","「そんな顔を横目に、ホームに到着した新快速が、発車しようとしている。」"
03.txt:862:talk "ミオ","「持たされた弁当がくづれないように、手で支えながらホームへと駆け出す。」"
03.txt:863:talk "ミオ","「とりあえず一番近いドアに駆け込み、その後にドアが閉まった。」"
03.txt:864:talk "ミオ","「とりあえずミオを窓側に座らせ、俺もその横に座る。」"
03.txt:865:talk "ミオ","「弁当は膝の上に置き、景色を眺めながら、ミオの横顔も見える。」"
03.txt:866:talk "ミオ","「そうしてると、どんどんとモーターは唸っていき、速度を上げた。」"
03.txt:867:talk "ミオ","「景色は高速で流れてゆき、元町を通過した。」"
03.txt:868:talk "ミオ","「"あの"元町じゃねえけどな。俺らにとっては、馴染ねえ方だ。」"
03.txt:869:talk "ミオ","「神戸に停車し、その後」"
03.txt:870:talk "ミオ","「兵庫、新長田、鷹取、須磨……。」"
03.txt:871:talk "ミオ","「新快速は停車する気配を微塵も見せず、見知らぬ駅を凄まじいスピードで容赦なくすっ飛ばしていく。」"
03.txt:872:talk "ミオ","「モーターの唸り音と共に流れる海沿いの景色が、俺たちがどんどん日常から遠ざかっていることを教えてくれる。」"
03.txt:887:talk "俺","「こいつっ、食事の前にデザート食うつもりだ....」"
03.txt:888:talk "俺","「まあ、ミオの好きにさせてやろう。」"
03.txt:891:talk "ミオ","「ミオが高そうな箱から取り出したのは、プリンだった。」"
03.txt:892:talk "ミオ","「(やっぱ甘いものには目がないな...)」"
03.txt:893:talk "ミオ","「蓋を開け、」"
03.txt:894:talk "ミオ","「付属の小さなスプーンで掬い、幸せそうな顔で口に運ぶ。」"
03.txt:897:talk "ミオ","「ん～っ、めっちゃとろとろっ！」"
03.txt:898:talk "ミオ","「ミオは幸せそうな顔で、上品に食べる。」"
03.txt:901:talk "俺","「俺もその箱からプリンを取り出し、食べだす。」"
03.txt:913:talk "俺","「なあ、ミオ、」"
03.txt:914:talk "俺","「写真とっても良いか？」"
03.txt:917:talk "ミオ","「.....顔は映さないでねっ」"
03.txt:920:talk "俺","「わかったよ」"
03.txt:935:talk "ミオ","「見せて見せてっ」"
03.txt:938:talk "ミオ","「スプーンを咥えたまま、ミオが身を乗り出してきた。」"
03.txt:939:talk "ミオ","「小さな液晶画面に映し出された画像は、たった10万画素の粗いノイズまみれで、お世辞にも綺麗とは言えない。」"
03.txt:942:talk "ミオ","「カメラの技術ってさ、いつ発展するんだろうね...」"
03.txt:945:talk "俺","「確かに画質きたねえけどさ、昔はこんなこんなオモチャみたいな機械で写真なんて取れなかったからな...」"
03.txt:948:talk "俺","「まあ、肉眼みたいな写真が取れるようになるのには50年かかるだろ」"
03.txt:951:talk "ミオ","「そんなかなぁ...天才たちの技量を君は舐めてるよっ」"
03.txt:954:talk "俺","「そうか？バカが天才の代弁しちゃっていいのか？」"
03.txt:957:talk "ミオ","「なんですとっ！？」"
03.txt:958:talk "ミオ","「さっきまで幸せそうな顔をしてたミオさんがこちらを睨んできてる。」"
03.txt:959:talk "ミオ","「まるで今にも殴りかかってきそうな形相だ。」"
03.txt:962:talk "俺","「まあまあ、プリン食って落ち着けや」"
03.txt:963:talk "俺","「と食いかけの俺のプリンをミオの口に押し付ける。」"
03.txt:966:talk "ミオ","「むぐっ...！？」"
03.txt:967:talk "ミオ","「めちゃくちゃ目を白黒させている。そのアホみたいな顔は、当分忘れることはなさそうだって程、インパクトが強かった。」"
03.txt:968:talk "ミオ","「ミオは喉を鳴らして強引にプリンを飲み込むと、涙目で俺を睨みつけてきた。」"
03.txt:971:talk "ミオ","「いきなり君は何するんだ、しかも食べかけじゃ...」"
03.txt:972:talk "ミオ","「急に恥ずかしくなったのか、そこで口を止めた。」"
03.txt:975:talk "ミオ","「...もうカツサンド食べちゃうからねっ」"
03.txt:976:talk "ミオ","「と俺の膝にある袋から取り出した。」"
03.txt:977:talk "ミオ","「４つも入ってる箱から、一つだけ俺ももらった。」"
03.txt:978:talk "ミオ","「ミオは残りの３つを嬉しそうに食べてる。」"
03.txt:979:talk "ミオ","「普段こういうの食べないのかな？」"
03.txt:986:talk "ミオ","「もうお腹いっぱい...」と言った。」
03.txt:989:talk "俺","「お前少食だなぁ...」"
03.txt:992:talk "ミオ","「女の子はそんなもんなんですっ」"
03.txt:995:talk "俺","「それはどうでもいいとして、残ったのはどうするんだ？」"
03.txt:998:talk "ミオ","「ここで君の出番なんですよ、頑張ってね」"
03.txt:1001:talk "俺","「はいはい....」"
03.txt:1014:talk "俺","「俺は窓の外を猛スピードで後ろへ流れていく景色を眺めながら、残りのカツサンドと、俺の分の幕の内弁当、そしてミオが押し付けてきたバカでかい肉弁当を、ひたすら無言で胃に詰め込み続けた。」"
03.txt:1015:talk "俺","「そして明石に停車し、すぐに西明石にも停車した。」"
03.txt:1016:talk "俺","「西明石を出てからも、列車の勢いは止まらない。」"
03.txt:1017:talk "俺","「加古川と、主要な駅にしか停まらず、それ以外の小さな駅のホームを轟音と共に置き去りにしていく。」"
03.txt:1020:talk "俺","「苦...しい」"
03.txt:1021:talk "俺","「俺の腹ははち切れそうだ。」"
03.txt:1024:talk "ミオ","「がんばれー、残飯処理班！ あともう少しだよっ！」"
03.txt:1025:talk "ミオ","「俺がこんなに苦しくなりながら処理してるって言うのに、ミオは呑気にくつろぎながら車窓を眺めていた。」"
03.txt:1026:talk "ミオ","「この野郎....」"
03.txt:1039:talk "俺","「おい、降りる準備しとけよな」"
03.txt:1042:talk "ミオ","「はいはい....ふぁぁ....眠いよぉ」"
03.txt:1045:talk "ミオ","「ミオは大きく背伸びをすると、空になったおびただしい数の弁当ガラを袋にまとめ始めた。」"
03.txt:1046:talk "ミオ","「開いたドアから流れ込んでくる風は、三ノ宮のそれよりも、少しだけ土と潮の匂いが強くなっていた。」"
03.txt:1047:talk "ミオ","「とりあえず改札から出よう。」"
03.txt:1050:talk "俺","「ミオ、今日はここまでにしとくか？それとももっと遠くに行きたいか？」"
03.txt:1053:talk "ミオ","「う～ん....」"
03.txt:1056:talk "ミオ","「ちょっと眠たいけど、まだまだ行けるよぉ...」"
03.txt:1059:talk "俺","「じゃあ、電車乗っちゃっていいっすか？」"
03.txt:1062:talk "ミオ","「うん！」"
03.txt:1063:talk "ミオ","「と、少し眠そうだけど、張り切って声を出したミオ。」"
03.txt:1064:talk "ミオ","「そう決まったら早速、岡山までの切符を発券する。」"
03.txt:1065:talk "ミオ","「また改札を通り、観光もせず姫路を去ることになった....」"
03.txt:1066:talk "ミオ","「赤穂線 播州赤穂ゆきのの古い車両に乗り換え、ゆっくりと姫路を出発していった。」"
03.txt:1067:talk "ミオ","「先ほどとは打って変わって、一駅づつ、丁寧に止まっていく。」"
03.txt:1068:talk "ミオ","「新快速はあんなに早かったのに、姫路でガラリと変わった。」"
03.txt:1069:talk "ミオ","「まあ、こういうのも旅としていいか。」"
03.txt:1070:talk "ミオ","「ずっと高速で駆け抜けていったらつまらない。たまには、ゆっくりと景色を眺める時間もいいな。」"
03.txt:1073:talk "ミオ","「列車は、英賀保、網干、竜野、相生、西相生、坂越」"
03.txt:1074:talk "ミオ","「そして終点、播州赤穂に到着した。ここで岡山方面へと乗り換えよう。」"
03.txt:1075:talk "ミオ","「そして赤穂線 岡山ゆきへと乗り換え、ゆったりと岡山に向かう。」"
03.txt:1085:talk "俺","「ミオ、海が見えるぞ」"
03.txt:1088:talk "ミオ","「.....」"
03.txt:1094:talk "俺","「.....寝てるのか？」"
03.txt:1100:talk "俺","「肩を叩いてみても、返事はない。」"
03.txt:1101:talk "俺","「(こんな気持ちよさそうに寝てるし、起こすわけにはいかないよな...)」"
03.txt:1102:talk "俺","「とためらった。」"
03.txt:1105:talk "俺","「せっかく海が見えるってのにさ...」"
03.txt:1106:talk "俺","「口では悪態をつきながら、俺は彼女が窓ガラスの振動で頭を打たないよう、そっと自分の肩へ引き寄せた。」"
03.txt:1107:talk "俺","「ミオの髪から、ほんのりと甘いシャンプーの匂いがする。」"
03.txt:1108:talk "俺","「この電車は、あと1時間ほどで岡山につくみたいだ。」"
03.txt:1109:talk "俺","「俺は肩に心地の良い温かみと重みを感じながら、車窓を眺めた。」"
03.txt:1110:talk "俺","「誰も俺たちを知らない遠い街へと続く、穏やかな海景色をただ無言で眺め続けた。」"
03.txt:1111:talk "俺","「そうして海景色とトンネルを超え、だんだんと市街地が近づいてきた。」"
03.txt:1112:talk "俺","「駅で言うと、東岡山あたりか。」"
03.txt:1113:talk "俺","「そろそろミオは起こしたほうがよさそうだ。」"
03.txt:1116:talk "俺","「おいっ、ミオ」"
03.txt:1119:talk "ミオ","「.....」"
03.txt:1122:talk "俺","「こいつ、まるで死んだみたいに寝てるな...」"
03.txt:1125:talk "俺","「ミオっ」"
03.txt:1126:talk "俺","「と肩を叩きまくる。」"
03.txt:1129:talk "ミオ","「ん....？」"
03.txt:1132:talk "俺","「やっと起きたか、もうそろそろ岡山だぞ」"
03.txt:1135:talk "ミオ","「おはよぉ...」"
03.txt:1138:talk "ミオ","「よく寝たよぉ」"
03.txt:1141:talk "俺","「ホントだぞ。お前寝てなかったらきれいな海見れたのになぁ」"
03.txt:1144:talk "ミオ","「なんで起こしてくれなかったのですかねっ！！」"
03.txt:1145:talk "ミオ","「と起きてそうそう叩いてきた。」"
03.txt:1146:talk "ミオ","「こうやって連続で叩かれると、なかなかに痛い。」"
03.txt:1147:talk "ミオ","「質より量ってやつか。」"
03.txt:1150:talk "俺","「起きなかったお前が悪いだろ...」"
03.txt:1153:talk "ミオ","「起きなかったのは君の起し方が悪いんじゃ！」"
03.txt:1154:talk "ミオ","「さらに激しく叩いてきた。」"
03.txt:1157:talk "俺","「痛い痛い痛い！」"
03.txt:1158:talk "俺","「痛いって、ホンマに。」"
03.txt:1163:talk "俺","「ほらっ、もう岡山だからやめろって...痛いっ」"
03.txt:1166:talk "ミオ","「はあっ、はあっ...」"
03.txt:1167:talk "ミオ","「ずっと殴ってきたせいで、息切れしてる。」"
03.txt:1170:talk "俺","「降りる準備しとけよな...」"
03.txt:1173:talk "ミオ","「はいはいっ」"
03.txt:1174:talk "ミオ","「ミオは自分のカバンを持ち上げ、背負う。」"
03.txt:1180:talk "俺","「やっと着いたな、行くぞミオっ！」"
03.txt:1183:talk "ミオ","「おーっ！」"
03.txt:1186:talk "ミオ","「んでさ、どこに行くんだっ」"
03.txt:1189:talk "俺","「どこ行くって、そりゃあ....」"
03.txt:1192:talk "俺","「行くとこねえわ」"
03.txt:1195:talk "ミオ","「ずこーっ」"
03.txt:1196:talk "ミオ","「それ口に出して言う人いたんだ...」"
03.txt:1199:talk "俺","「とりあえず外出ようぜ」"
03.txt:1202:talk "ミオ","「うん、いいよっ。いこいこ～」"
03.txt:1207:talk "俺","「自販機行くけどさ、」
03.txt:1208:talk "俺","「なんか飲みたいものあるか」"
03.txt:1211:talk "ミオ","「おしるこ、かなっ」"
03.txt:1214:talk "俺","「わかった」"
03.txt:1239:talk "俺","「買ってきたぞ」"
03.txt:1242:talk "ミオ","「ずいぶんと早かったね」"
03.txt:1245:talk "俺","「自販機めっちゃ近かったからな」"
03.txt:1248:talk "俺","「俺は缶のフタを開け、もったいぶってちびちび飲む。」"
03.txt:1251:talk "ミオ","「君ってどうやっておしるこの底に溜まった豆取る？」"
03.txt:1254:talk "俺","「は？ 普通に勢いよく缶を振って口に流し込むんだよ」"
03.txt:1257:talk "ミオ","「えーっ、それだと最後に絶対数粒残っちゃうじゃん。もったいないお化けが出ちゃうんだよ？」"
03.txt:1260:talk "俺","「じゃあどうすればいいんだよ」"
03.txt:1263:talk "ミオ","「飲み口の下のところをね、ちょっとだけベコってヘコませるの。そうすると、豆が引っかからずにするするって出てくるんだよっ！」"
03.txt:1266:talk "俺","「お前、よくそんなこと知ってるな」"
03.txt:1269:talk "俺","「ちょっと感心したわ」"
03.txt:1272:talk "ミオ","「えへへ....」"
03.txt:1273:talk "ミオ","「ミオは得意げに笑うと、おしるこの缶を両手で包みこんで、暖を取りながら幸せそうにちびちびと飲み始めた。」"
03.txt:1274:talk "俺","「俺も少し冷めたコーヒーを流し込む。」"
03.txt:1283:talk "俺","「さむっ....」"
03.txt:1286:talk "ミオ","「雨、降りそうだね...」"
03.txt:1289:talk "俺","「そうだな...早めに宿を見つけなきゃな」"
03.txt:1304:talk "俺","「ミオ、今日から俺ら部活の遠征だ！」"
03.txt:1307:talk "ミオ","「いきなりどうしたのっ 部活って言ってもなんの部活なんだよ...」"
03.txt:1310:talk "俺","「なんの部活かは知らね。部活の遠征ってことにしたら、ホテルに泊まりやすいだろ？」"
03.txt:1313:talk "ミオ","「いいねっそれ！君にしてはなかなかいい案出すなっ！」"
03.txt:1316:talk "俺","「バカにしてんのか、お前」"
03.txt:1319:talk "ミオ","「バカにしてる！」"
03.txt:1326:talk "俺","「マジかよ、もう降ってきやがったか」"
03.txt:1329:talk "ミオ","「急がないと濡れちゃうよっ」"
03.txt:1332:talk "俺","「走るぞ、ミオ！どこでもいいからホテルへ！」"
03.txt:1335:talk "ミオ","「らじゃーーっ！」"
03.txt:1344:talk "俺","「とりあえずあそこっ、入るぞ！」"
03.txt:1347:talk "ミオ","「うんっ.....はあっ、はあっ」"
03.txt:1353:talk "俺","「お部屋空いてますかね？」"
03.txt:1362:talk "俺","「二人です。ツインで」"
03.txt:1373:talk "俺","「えっと……俺たち、部活の遠征で。先生や親は、あとから別の車で来るんで、先にチェックインしとけって言われてて」"
03.txt:1394:talk "俺","「その『身分証』でどうにかなりませんかね？」"
03.txt:1410:talk "俺","「ありがとうございます」"
03.txt:1415:talk "ミオ","「あんなんで買収できたんだ....めっちゃヒヤヒヤしたよぉっ」"
03.txt:1418:talk "ミオ","「心臓、止まるかと思ったぁ....！」"
03.txt:1421:talk "俺","「.....俺もだ。大人ってのは、案外金でどうにでもなるらしいな」"
03.txt:1424:talk "ミオ","「私たちが憧れてる大人って、案外しょうもない奴らなのかもねっ...」"
03.txt:1427:talk "俺","「そうかもな」"
03.txt:1428:talk "俺","「俺は薄汚い大人たちと、それに頼るしかない自分たちの滑稽さに、思わず乾いた笑いを漏らした。」"
03.txt:1429:talk "俺","「エレベーターが目的の階に到着し、ふかふかの絨毯が敷かれた廊下を歩く。」"
03.txt:1430:talk "俺","「鍵に書かれた番号の部屋を開けると、昨日のラブホテルとは違った、清潔で、いい意味での華やかさがある部屋だった。」"
03.txt:1433:talk "ミオ","「ミオはその濡れた服で、ベッドへ飛び込む。」"
03.txt:1436:talk "俺","「ちゃちゃっと風呂、入っちゃおうぜ」"
03.txt:1439:talk "ミオ","「うん、沸かしといて...」"
03.txt:1440:talk "ミオ","「ミオはへにゃへにゃな声でこちらを見て返事をし、すぐに倒れるかのように寝る。」"
03.txt:1443:talk "俺","「わかったよ」"
03.txt:1446:talk "俺","「軽く赤い蛇口をひねり、俺もベッドに座る。」"
03.txt:1447:talk "俺","「今日も何だかんだ、いろいろあったな。」"
03.txt:1448:talk "俺","「それよりも、さっきのことで心臓がバクバクしてる。」"
03.txt:1449:talk "俺","「あんな紙切れ3枚で買収される大人、そして"なにか"から逃げてる俺ら。」"
03.txt:1450:talk "俺","「俺はまだ子供だけど、一生子供でありたいと望んだ。」"
03.txt:1451:talk "俺","「風呂が溢れてるか確認するために、重い体を起こして浴室へと向かう。」"
03.txt:1452:talk "俺","「溢れてはいなかったが、中途半端にお湯が溜まっていた。」"
03.txt:1453:talk "俺","「こういうのも自動になったらいいのに。」"
03.txt:1454:talk "俺","「金持ちの家だともう自動でお湯入れてくれるやつ、あるらしいけどね。」"
03.txt:1455:talk "俺","「今更自分の家に文句を言っても、もう帰ることはないだろうし、無駄だな…」"
03.txt:1456:talk "俺","「そうやって心の中でどうでもいいことを考えていたら、ちょうど良い湯量になっていた。」"
03.txt:1457:talk "俺","「止めるか。」"
03.txt:1460:talk "俺","「ミオ、沸いたぞ」"
03.txt:1463:talk "ミオ","「ミオは眠そうな目でこちらを見つめると、また力なくベッドに倒れこんだ。」"
03.txt:1464:talk "ミオ","「この様子じゃ、風呂に入る気力も無さそうだ。」"
03.txt:1465:talk "ミオ","「先に入って、あとでまた起こすか。」"
03.txt:1466:talk "ミオ","「起きなかったら起きなかったでしょうがない。」"
03.txt:1467:talk "ミオ","「俺は脱衣所に向かい、テキトーに服を脱ぎ捨て、湯気が立っているところへ飛び込んだ。」"
03.txt:1468:talk "ミオ","「今日の列車旅の疲れが、熱いお湯によって洗い流される。」"
03.txt:1469:talk "ミオ","「気を抜いたら、この暖かさに包まれたまま寝てしまいそうだ。」"
03.txt:1470:talk "ミオ","「俺がここで寝てしまったら、ミオが風呂に入れないまま明日を迎えてしまいそうだ。」"
03.txt:1471:talk "ミオ","「眠さを紛らわすために、頭を洗う。」"
03.txt:1472:talk "ミオ","「無機質のようで、華やかな壁を見つめながら、これからの旅について考える。」"
03.txt:1473:talk "ミオ","「今は安全だが、そのうち警察からは追われるだろう。」"
03.txt:1474:talk "ミオ","「その際にどうするかってことだよな。」"
03.txt:1475:talk "ミオ","「警察から逃げたことなんてまったくないから、どうしたら良いかなどわからないけど...」"
03.txt:1476:talk "ミオ","「だけどこれは明確にわかる。手元の万札が尽きるのが先か、アイツの命が尽きるのか先か」"
03.txt:1477:talk "ミオ","「―――そんな最悪のチキンレースを続けるしかないことだけは確かであった。」"
03.txt:1478:talk "ミオ","「とりとめない思考を連鎖させているうちに、脱衣所の方からパタパタと歩く音が聞こえてきた。」"
03.txt:1479:talk "ミオ","「どうやら目を覚ましたらしい。薄いガラス越しに、ミオのシルエットが像を結ぶ。」"
03.txt:1482:talk "ミオ","「....おはよぉ」"
03.txt:1485:talk "俺","「俺は風呂に浸かりつつ、ミオに返事をする。」"
03.txt:1488:talk "俺","「やっと起きたか」"
03.txt:1491:talk "ミオ","「うん... 今何時？」"
03.txt:1494:talk "俺","「夕方の四時前だ....」"
03.txt:1497:talk "ミオ","「全然夜じゃなかったよぉ...」"
03.txt:1500:talk "俺","「外はざんざん降りだしな。空もどんよりと黒いから、そう勘違いするのは仕方ない」"
03.txt:1503:talk "ミオ","「なんか、一日が長く感じるね」"
03.txt:1506:talk "俺","「学校に行ってないからじゃないか？」"
03.txt:1509:talk "ミオ","「すっかり忘れてた...」"
03.txt:1510:talk "ミオ","「......この旅を始めたのは最近だったはずなのに、もうずっと前のことみたいだよ」"
03.txt:1513:talk "俺","「そうかもな、今までが退屈すぎたんだ」"
03.txt:1514:talk "俺","「俺があえて軽口を叩いてみせると、ガラス越しのシルエットが少しだけ震えたように見えた。」"
03.txt:1515:talk "俺","「曇ったすりガラスを隔てたまま、俺たちはただ無言で、その時を過ごした。」"
03.txt:1518:talk "俺","「風呂、上がるぞ」"
03.txt:1524:talk "俺","「ミオ、聞こえてるか」"
03.txt:1527:talk "俺","「お前がどかねえと、俺が風呂から出れねえんだけど～」"
03.txt:1538:talk "俺","「俺は仕方なく、ミオの隣で身体を軽く拭き、タオルを巻いて俺は着替えを抱きしめたまま寝ているミオを持ち上げる。」"
03.txt:1539:talk "俺","「思ったより軽かった。ぎっくり腰になるレベルで。」"
03.txt:1540:talk "俺","「拍子抜けするほどのその軽さは、彼女の命が確実に削り取られていることを俺に突きつけてくるようで、ひどく胸がざわついた。」"
03.txt:1541:talk "俺","「起こさないように慎重にベッドへ運び、上から布団を掛けてやる。」"
03.txt:1544:talk "俺","「おやすみ、ミオ」"
03.txt:1550:talk "俺","「俺もちゃちゃっと着替えて、ベッドに飛び込む。」"
03.txt:1551:talk "俺","「飯の時間まで暇だから、テレビを見ることにした。」"
03.txt:1552:talk "俺","「テレビのリモコンを取って、適当なチャンネルを押す。」"
03.txt:1553:talk "俺","「テレビは律儀に、俺が押した適当なチャンネルを映し出す。」"
03.txt:1554:talk "俺","「どこかの知らない誰かが殺されたとか、どこかで事故があったとか、そんなどうでもいいニュースを流し見していると、やがて番組が変わった。」"
03.txt:1555:talk "俺","「画面は地元のグルメ特集に切り換わる。ちょうど腹が減ってくる今を狙っての番組だろう。」"
03.txt:1556:talk "俺","「そんなテレビ局の策略にハマり、腹が減ってきた。ちょうど夕飯をどうしようか迷っていたし、ミオが起きたら外へでも出て食べに行くか。」"
03.txt:1557:talk "俺","「隣のベッドで静かな寝息を立てるミオを見やりながら、俺は彼女が目を覚ますまでの退屈で穏やかな時間を、ただぼんやりと消費していった。」"
03.txt:1560:talk "ミオ","「ねえっ、君ってば！ご飯はどうするのっ！」"
03.txt:1575:talk "俺","「こんな時間に街に出ても、飯屋なんて空いてねえぞ....」"
03.txt:1578:talk "ミオ","「え～っ」"
03.txt:1581:talk "俺","「飯が食いたいなら、律儀に眠りにつくことだな....」"
03.txt:1582:talk "俺","「それだけを言い放ち、至高の二度寝に突入しようとすると、またミオからの妨害を受ける。」"
03.txt:1585:talk "ミオ","「ねぇっ」"
03.txt:1588:talk "ミオ","「起きてよっ」"
03.txt:1591:talk "俺","「......寝させてくれ」"
03.txt:1594:talk "ミオ","「ご飯食べに行くのっ！ほらっ、起きなさいっ」"
03.txt:1600:talk "俺","「痛ってえなぁっ！」"
03.txt:1603:talk "ミオ","「素直に起きないからだよっ」"
03.txt:1609:talk "俺","「わかった、わかったって！一旦手を離せ！」"
03.txt:1612:talk "ミオ","「はあっ、はあっ.....」"
03.txt:1615:talk "ミオ","「疲れたぁ」"
03.txt:1618:talk "俺","「体力ないのに無理に引っ張ろうとするから...」"
03.txt:1621:talk "俺","「てかよぉ、飯食いたいって言ってもこの時間飯屋ねえぞ...」"
03.txt:1624:talk "ミオ","「コンビニがあるじゃん」"
03.txt:1627:talk "俺","「お前はそれで良いのか？」"
03.txt:1630:talk "ミオ","「いいよっ、全然！」"
03.txt:1633:talk "俺","「そうか...」"
03.txt:1639:talk "ミオ","「ほらっ、君も靴はいて！」"
03.txt:1645:talk "俺","「この辺にコンビニってどこにあるのか知ってるのか？」"
03.txt:1648:talk "ミオ","「知らないや」"
03.txt:1651:talk "ミオ","「まあ、駅のあたり歩いてれば見つかるよっ。きっと！」"
03.txt:1654:talk "俺","「そうかもな...」"
03.txt:1663:talk "ミオ","「こんな暗い時間に外出るなんて、初めてだよっ」"
03.txt:1664:talk "ミオ","「ミオはうきうきしながら夜の街を駆け出す。」"
03.txt:1665:talk "俺","「俺は必死にその背中を追いかいつつ、自由なこの現状を楽しむ。」"
03.txt:1666:talk "俺","「深夜徘徊なんて不良のテンプレみたいだが、ただあてもなく歩いている今のこの現状が、ひどく自由で心地よかった。」"
03.txt:1667:talk "俺","「水たまりを避けながら、人気のない岡山駅のロータリー付近をあてもなく歩く。」"
03.txt:1668:talk "俺","「聞こえるのは、俺たちの足音と、遠くを走る長距離トラックの微かなエンジン音だけだ。」"
03.txt:1677:talk "ミオ","「あ、あった！」"
03.txt:1690:talk "俺","「おい、こんな夜中にそれ食うのかよ」"
03.txt:1693:talk "ミオ","「夜中に食べるジャンクフードが一番美味しいんだよっ。君、そんなことも知らないの？」"
03.txt:1696:talk "俺","「医者に止められてるだろ、絶対」"
03.txt:1699:talk "ミオ","「今日は特別なんだよっ！初めて夜中にコンビニ来たしねっ！」"
03.txt:1712:talk "俺","「俺は財布を開き、分厚い万札の束から一枚を引き抜いてトレーに置いた。」"
03.txt:1715:talk "俺","「一万円からで」"
03.txt:1729:talk "ミオ","「いただきまーすっ」"
03.txt:1732:talk "ミオ","「ミオはプラスチックのフォークで、ズズッと音を立てて麺をすする。」"
03.txt:1733:talk "ミオ","「一泊一万五千円もする清潔な部屋に、ジャンクなシーフードの匂いが充満していく。」"
03.txt:1736:talk "俺","「……うまいか？」"
03.txt:1739:talk "ミオ","「うんっ！ 最高っ！」"
03.txt:1742:talk "ミオ","「ミオは満面の笑みで答える。」"
03.txt:1743:talk "俺","「俺も肉まんをかじり、熱いスープを流し込んだ。」"
03.txt:1744:talk "俺","「こんなの、親の目を盗んで家で食べる夜食と何も変わらない。」"
03.txt:1745:talk "俺","「だけど、親の金で泊まった高級ホテルで、不治の病の幼馴と深夜三時にすするカップ麺の味は、どうしようもないほどの背徳感と、少しの切なさが混ざっていた。」"
03.txt:1748:talk "ミオ","「……ねえ」"
03.txt:1751:talk "ミオ","「カップ麺のスープを飲み干し、ふうっと息を吐いたミオが、ふいに真顔になって口を開く。」"
03.txt:1754:talk "ミオ","「明日さ、どこに行くの？」"
03.txt:1757:talk "俺","「……さあな。西に向かう切符でも適当に買うさ」"
03.txt:1760:talk "ミオ","「そっか」"
03.txt:1763:talk "ミオ","「ミオはそれ以上何も聞かず、ただ小さく頷いた。」"
03.txt:1764:talk "ミオ","「窓の外では、いつの間にか雨が完全に上がっているようだった。」"
03.txt:1765:talk "ミオ","「どこへ行くかもわからない、終わりの見えない旅。」"
03.txt:1766:talk "ミオ","「手元の金が尽きるのが先か、あいつの命が尽きるのが先か。」"
03.txt:1767:talk "ミオ","「そんなことは、明日の俺たちに考えさせればいい。」"
